Companies,Headquarters,2011 Tonnage (Millions),2012 Tonnage (Millions),2013 Tonnage (Millions),2014 Tonnage (Millions),2015 Tonnage (Millions),2016 Tonnage (Millions),2015 Ranking,2016 Ranking
ArcelorMittal ,Luxembourg,97.25,93.58,96.1,98.09,97.14,95.45,1,1
China Baowu Group (merger of Baosteel Group and Wuhan Group,China,81.02,79.12,83.22,76.4,60.71,63.81,,2
HBIS Group,China,44.36,42.84,45.79,47.09,47.75,46.18,2,3
Nippon Steel and Sumitomo Metal Corporation,Japan,33.39,47.86,50.13,49.3,46.37,46.16,3,4
POSCO,South Korea,39.12,39.88,38.42,41.59,41.97,41.56,4,5
Baosteel Group,China,43.34,42.7,43.91,43.35,34.94,0,5,
Shagang Group,China,31.92,32.31,35.08,35.33,34.21,33.25,6,6
Ansteel Group,China,29.75,30.23,33.69,34.35,32.5,33.19,7,7
JFE Steel Corporation,Japan,29.9,30.41,31.16,31.41,29.83,30.29,8,8
Shougang Group,China,30.04,31.42,31.52,30.78,28.55,26.8,9,9
Tata Steel Group,India,23.82,22.97,25.27,26.2,26.31,24.49,10,10
Wuhan Steel Group,China,37.68,36.42,39.31,33.05,25.78,0,11,
Shandong Steel Group,China,24.02,23.01,22.79,23.34,21.69,23.02,12,11
Nucor Corporation,USA,19.89,20.13,20.16,21.41,19.62,21.95,14,12
Hyundai Steel Company,South Korea,16.29,17.12,17.3,20.58,20.48,20.09,13,13
Maanshan Steel,China,16.68,17.34,18.79,18.9,18.82,18.63,15,14
thyssenkrupp,Germany,17.94,14.46,15.86,17.23,17.34,17.24,16,15
Novolipetsk Steel,Russia,12.11,14.92,15.47,16.11,16.05,16.64,19,16
Jianlong Group,China,12.36,13.76,14.3,15.26,15.14,16.45,20,17
Gerdau S.A.,Brazil,20.5,19.81,18.97,19,17.03,15.95,17,18
China Steel Corporation,"Taiwan, China",14.01,12.73,14.29,15.4,14.82,15.52,23,19
Valin Group,China,15.89,14.11,14.99,15.38,14.87,15.48,22,20
JSW Steel Limited,India,7.01,8.48,11.8,12.72,12.42,14.91,30,21
Benxi Steel,China,16.49,15.08,16.83,16.26,14.99,14.4,21,22
Steel Authority of India Ltd.,India,13.5,13.5,13.52,13.56,14.34,14.38,26,23
United States Steel Corporation,USA,21.99,21.44,20.38,19.73,14.52,14.22,24,24
IMIDRO,Iran,12.58,13.61,14.29,14.42,14.1,14.02,27,25
Rizhao Steel,China,11.2,13.22,12.68,11.4,14,13.86,28,26
Fangda Steel,China,2.62,3.28,13.16,13.64,13.21,13.68,29,27
EVRAZ,Russia,16.77,15.95,16.11,15.54,14.35,13.53,25,28
Magnitogorsk Iron & Steel Works,Russia,12.2,13.04,11.94,13.03,12.24,12.54,31,29
Baotou Steel,China,10.22,10.19,10.69,10.72,11.86,12.3,32,30
Severstal,Russia,15.29,15.14,15.69,14.23,11.45,11.63,33,31
Liuzhou Steel,China,0,0,0,11.39,10.83,11.05,35,32
Jinxi Steel,China,9.04,9.1,8.75,9.12,9.77,11.05,39,33
